fecha,rank,token,cadena,launchpad,edad,mc_usd,pct_24h,vol_24h_usd,liq_usd,liq_pct,holders,top10_pct,verificado,flujo_fomo_pct_vol,top1_holder,top1_entry_mc,received_top50,titular_presente,plantel_secundario,cluster_rotadores,base_antes_vela,disparador_publico,disparador_hora_utc3,tesis_previa,tesis_previa_fecha,narrativa_madre,cohorte_ganadora,veredicto,notas
2026-09-05,1,ROBIN,robinhood,pons,9h,11900000,337950,5800000,151600,1.27,5000,16.1,no,10,reaper_aped,276000,1 (reaper_aped $136K a $276K),no,no,heeshilio,no,-,-,no,-,mascota RH / copycat IP Muppets,1-lanzamiento,veto copycat,sin base; Received de lanzamiento
2026-09-05,2,UNIPCS,robinhood,pons,5h,5800000,128613,15900000,307000,5.3,7000,21.7,no,6,ninety,55900,0,no (unipcs NO es holder),Quanterty,Rowdy;Quanterty;isol4ted;iexilium;midcurver;abelnavarro,no,tuit @spacepixel,-,no,-,creator coin del titular (MADE),1-lanzamiento,no confundir nombre con ballena,$15.9M vol en 5h
2026-09-05,3,Ponsan,robinhood,-,<1d,3000000,67000,,,,,,,,,,,,,,,,,,,copycat de PONS,1-lanzamiento,sin ficha,derivado
2026-09-05,4,STOCKKIT,robinhood,-,<1d,205000,6480,,,,,,,,,,,,,,,,,,,-,1-lanzamiento,MUERTO,$2.6M -> $198K en 25 min durante la lectura
2026-09-05,5,PEZ,robinhood,plataforma Loracle,2h,6600000,10746,29700000,322200,4.9,4000,18.8,no,7,Aurelius0121,5700000,1 (deliveryydriver $67K a $7.5M tardio),no,frankdegods,isol4ted;WilyCoralWren,no,narrativa Loracle vs PONS,-,no,-,venganza / competidor PONS,1-lanzamiento,38 de 50 top holders en rojo a las 2h,0->$8.7M en <1h
2026-09-05,6,ZZZ,robinhood,pons,1d,24500000,485,32300000,466900,1.9,8000,27.4,no,4,0xAvast,2200000,0,no,0xAvast;Quanterty(tarde $14.7M),latentliq;Rowdy;heeshilio;paidinfullintel;Quanterty;Zevry;isol4ted,17h ($6.5-13M),tuit @ExponentLabs_,20:22 (precio ya a $13.4M a las 20:13),About cita @AndrewCurran_ desde lanzamiento,2026-09-05,AGI financiera / dev GMX en RH,2-consolidacion,ganador real; R5 vela y liq <2%,12x en 24h; tuit confirmo no inicio
2026-09-05,7,PAIR,robinhood,-,7d,23800000,170,9500000,768100,3.2,6000,21.2,no,3,inyourwalls,4900000,1 (unipcs $434K Received a $1.4M),SI (unipcs Received $1.4M),inyourwalls;minebuu_;CryptoTalkMan,rocketOO7;abelnavarro(UNIPCS),5 dias ($4-9M),tuit @pairdotfund listado CoinGecko,20:31,tuits equipo 31-ago (RH agrega liq) y 4-sep (stats),2026-08-31,launchpad pares accion-memecoin (stock pair),2-consolidacion,ganador real; candidato mapa si asienta,patron MarsCoin: Received titular en la base; Manu lo vendio
2026-09-05,8,SHROOM,robinhood,pons,3d,49300000,124,44800000,1000000,2.0,9000,28.8,si,2,GiantLoyalFox,16400,0,no,AvgJoesCrypto($1.5M);brrrgrrrz($5.3M);FartmanSacks($25.6M tarde),latentliq;Rowdy;heeshilio;paidinfullintel,~2 dias ($2-8M),tuit @shroom_network fees $109K/24h,19:21,hilo @smoothietrades 39K vistas + hilo @tomfastlane 10:26,2026-09-04 14:03,hub de liquidez pares accion en RH (stock pair),2-consolidacion,ganador real; unico verificado; candidato mapa si asienta,snipers a $13-16K MC en top 50; tesis 30h antes
2026-09-05,9,PONS,robinhood,pons,1m,925000000,41,129100000,6700000,0.7,80000,37.6,si,4,unipcs,6100000,1 (theveeman $1.2M a $44.2M),SI (unipcs $10.1M; ether_monk Received chico),AvgJoesCrypto,-,meses,-,-,-,-,launchpad RH / madre de la meta,4-corrida,referencia; fuera de escala,+41% a $925M
2026-09-05,10,SUSHI,ethereum,-,anos,75700000,35,,,,,,,,,,,,,,,,,,,DeFi,-,descartado no memecoin,se corre la lista al #11
2026-09-05,11,牛来,bnb,flap,7d+,114000000,35,,,,,,,,,,,,,,,,,,,Alpha BNB 18-ago,4-corrida,ya en Observatorio,-
