fecha_captura,hora_captura,token,cadena,launchpad,edad_al_capturar,mc_dia0,vol24h_dia0,pct_24h_dia0,bandera_copycat,fecha_revision_dia3,mc_dia3,var_mc_pct,liq_pct_dia3,top10_pct_dia3,holders_dia3,pct24h_dia3,vela_mayor_40,narrativa_identificable,veredicto,notas,contrato
2026-09-04,20:45,ELONGATE,Robinhood Chain,s/d,3m,$55.4K,$477,+8.41%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"revival de nombre de token 2021 = copycat, veto regla 10 | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,shuvon,Robinhood Chain,s/d,1h,$65.2K,$282.3K,+1021.40%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,POKEMON,Robinhood Chain,s/d,29m,$1M,$47.1K,+9231.76%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"marca registrada, veto regla 10 | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,UNICORN,Robinhood Chain,s/d,11h,$35.3K,$115.1K,+926.19%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"generico | dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,Redbull,Robinhood Chain,s/d,41m,$1M,$19K,+9773.68%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"marca registrada, veto regla 10 | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,Bingus,Robinhood Chain,s/d,52m,$71.1K,$650.7K,+2114.17%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"meme preexistente, copycat | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,SAAR,Robinhood Chain,s/d,2h,$49.7K,$38.1K,+1345.13%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,MEH,Robinhood Chain,s/d,1h,$36.8K,$162.2K,+1050.58%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,SQUEEZE,Robinhood Chain,s/d,1h,$29.9K,$183.5K,+56.39%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"unico con % contenido del lote | dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,USDG,Robinhood Chain,s/d,1h,$146.4K,$1.6M,+3407.90%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"imita ticker de stablecoin, veto | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,BUBBLE,Robinhood Chain,s/d,1h,$49.3K,$225.5K,+1006.89%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"generico | dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,kuan,Robinhood Chain,s/d,1h,$47.3K,$454.6K,+668.42%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,fone,Robinhood Chain,s/d,1w,$203.3K,$1M,+4596.31%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"COPYCAT de apeonfone (nuestro mapa 9 muerto). Veto y ademas senal: los copycats aparecen cuando el original muere | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,apecat,Robinhood Chain,s/d,1h,$55.6K,$95.7K,+1662.57%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"copycat compuesto ape+cat | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,Coca Cola,Robinhood Chain,s/d,1h,$932.8K,$30K,+8338.46%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"marca registrada, veto regla 10 | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,HOVER,Robinhood Chain,s/d,2h,$1.1M,$2.5M,+8153.60%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"mayor volumen del lote | dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,BONZI,Robinhood Chain,s/d,1h,$342.3K,$1M,+8886.41%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"referencia BonziBuddy, no marca viva | dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,AGI,Robinhood Chain,s/d,1h,$35.6K,$565.4K,-25.43%,no,2026-09-07,no indexado,s/d,no indexado,no indexado,no indexado,no indexado,s/d,no,baja,"UNICO EN ROJO del lote — el resto son velas verticales | dia-3 7-sep 10:05: no aparece en el buscador de fomo (busqueda exacta por nombre, pestana Tokens): sin actividad indexable = muerte operativa. Sin contrato guardado el dia 0 no hay ficha que abrir",
2026-09-04,20:45,CLANKSEN,Robinhood Chain,s/d,2h,$99.9K,$1.9M,+2498.09%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"copycat de Clanker | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-04,20:45,KEYCAT,Robinhood Chain,s/d,2h,$105.2K,$4.1M,+5191.99%,SI,2026-09-07,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,baja,"copycat de Keycat (token preexistente en Base) | dia-3 7-sep 10:05: no revisado, veto copycat del dia 0",
2026-09-07,21:40,board,Robinhood Chain,s/d,6m,$145.1K,$40.2K,+2495.69%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,,robinhood/0x0bd6c701562290e1dee83476f9b614e8bb0c75b8
2026-09-07,21:40,SECURTITTIES,Robinhood Chain,s/d,10m,$110.6K,$254.6K,+1631.88%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,"parodia de securities, no marca",robinhood/0xb57d7c7cdb014ab860dde400411b91f0c1ee7ed7
2026-09-07,21:40,LULU,Robinhood Chain,s/d,1d,$44.4K,$20.7K,+1073.05%,SI,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,"imita ticker de Lululemon (LULU), veto regla 10",robinhood/0x15d07422bcda9d3a9ef9834b93943e8705fdc13f
2026-09-07,21:40,PONZI,Robinhood Chain,s/d,22m,$3.4K,$79K,+678.81%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,MC $3.4K = practicamente muerto al capturar,robinhood/0x566bb7735fb7aa76bfec586b1f975fef7dcff169
2026-09-07,21:40,COMPUTE,Robinhood Chain,s/d,19m,$122K,$1.7M,+2529.72%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,mayor volumen del lote,robinhood/0x8b59adf6dbf4e01e7570c124c363694c12f5664a
2026-09-07,21:40,MUTUAL,Robinhood Chain,s/d,22m,$4.1K,$234.8K,-4.22%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,en rojo al capturar; MC $4.1K,robinhood/0x84412d8ee338bfcace987b1b0801b3ec425ebdad
2026-09-07,21:40,OpenAI,Solana,s/d,25m,$1.2M,$58.2K,+10447.61%,SI,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,"marca registrada, veto regla 10; MC $1.2M con $58K de volumen = precio pintado",solana/4rdn7e3bSdKrX7cVoczNM9SMQwuRRtgqBEo2t38Dpump
2026-09-07,21:40,HARVEST,Robinhood Chain,s/d,30m,$53.1K,$365K,+1112.20%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,,robinhood/0x51e6f3147dcdf3cf60bdc0ed771e73279f7136ac
2026-09-07,21:40,SHOPIFY,Robinhood Chain,s/d,46m,$30.1K,$499.1K,+619.42%,SI,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,"marca registrada, veto regla 10",robinhood/0xf4d4252a918d57a26d99d7682b9eb499bf426514
2026-09-07,21:40,长衫,BNB Chain,s/d,54m,$219.5K,$1.2M,+6413.27%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,"BNB, ether_monk lo tiene en cartera (visto en su lista de posiciones 21:30)",bnb/0x35307223469b4abb33eb34c4ff9d512b717a7777
2026-09-07,21:40,BAG,Robinhood Chain,s/d,3h,$37.6K,$40.8K,-35.39%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,en rojo al capturar,robinhood/0x792ff19204ef6c756b4d8efe2441d050f5ece818
2026-09-07,21:40,TAB,Robinhood Chain,s/d,55m,$143.5K,$733.4K,+1743.89%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,,robinhood/0x7ccdb55efb7305ea1fb7fc5199484e4869a243a8
2026-09-07,21:40,SUPER,Robinhood Chain,s/d,59m,$35.4K,$1.1M,-25.06%,no,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,en rojo al capturar con $1.1M de volumen,robinhood/0x79c76abab0bff8e583bcfc5c9a3f6dfe161c5d05
2026-09-07,21:40,Coca Cola,Robinhood Chain,s/d,28m,$1.6M,$57.3K,+14405.83%,SI,2026-09-10,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,pendiente,dia-0 capturado,"marca registrada, veto regla 10; SEGUNDA edicion (la del 4-sep murio en 3 dias); MC $1.6M con $57K de volumen = precio pintado","s/d (visto en Graduated 11:58, ya no figura a las 21:40)"
