fecha,hora,btc_spot,liq_24h_total_usd,liq_longs_usd,liq_shorts_usd,mayor_liquidacion,nivel_iman_abajo,nivel_iman_arriba,toco_el_nivel,fuente,nota
2026-09-03,~12:30,~81000,s/d,s/d,s/d,"James Wynn (Hyperliquid); precio de liquidacion $79,536.29 publicado por @lookonchain",79536,s/d,"SI: minimo 4-sep $79,449 (87 dolares debajo del nivel)",@lookonchain via Radar X,n=1: el nivel publico 21h antes actuo como iman
2026-09-04,09:30-09:45,79449,200000000 (longs; 15 min),200000000,s/d,s/d,s/d,s/d,—,@WatcherGuru via Radar X,nominas BLS: consecuencia sin causa nombrada
2026-09-08,00:30,78926,171510000,121800000,49700000,Hyperliquid BTC-USD $2.84M,s/d (pro),s/d (pro),—,MÉTRICAS-E coinglass.com/liquidations,la vista gratuita muestra treemap por activo; el mapa de niveles requiere login pro
2026-09-08,07:48,78625,192907628,124900000,68030000,"Hyperliquid BTC-USD $1.80M","s/d (pro)","s/d (pro)",—,"MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $192.93M (Long $124.90M/Short $68.03M); mapa de niveles de liquidación requiere login pro; no había fila pendiente de comparación de nivel (la última fila con nivel numérico ya tiene toco_el_nivel completado)"
2026-09-09,07:55,78847,226685549,126280000,100410000,"Binance BTCUSDT $2.96M","s/d (pro)","s/d (pro)",—,"MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $226.69M (Long $126.28M / Short $100.41M); mapa de niveles de liquidacion no visible en la pagina (heatmap vacio, sin pedir login); no habia fila pendiente de comparacion de nivel (fila anterior tambien s/d (pro))"
2026-09-10,07:49,77950,361130000,286210000,74920000,Binance BTCUSDT $6.47M,s/d (pro),s/d (pro),—,MÉTRICAS-E coinglass.com/liquidations,"24h Rekt total $361.13M (Long $286.21M / Short $74.92M); heatmap muestra barras verdes/rojas por símbolo sin niveles de precio, sin pedir login (no es el mapa de niveles); no había fila pendiente de comparación de nivel (todas las filas previas también s/d (pro))"
2026-09-12,08:56,77320,633980000,259460000,374530000,"Hyperliquid ETH-USD $20.28M","s/d (pro)","s/d (pro)",—,"MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $633.98M (Long $259.46M / Short $374.53M); mayor liquidación individual: Hyperliquid ETH-USD $20.28M; mapa de niveles de liquidación no visible sin login (heatmap solo agregado); no había fila pendiente de comparación de nivel (todas las filas previas también s/d (pro))"
2026-09-13,08:55,76747,220943510,138920000,82020000,"Binance ETHUSDT $4.46M","s/d (pro)","s/d (pro)",—,"MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $220.94M (Long $138.92M / Short $82.02M); mapa de niveles de liquidación no visible sin login (heatmap solo agregado por símbolo); no había fila pendiente de comparación de nivel (todas las filas previas también s/d (pro))"
2026-09-14,08:49,77774,185010000,106880000,78130000,"Aster BTCUSDT $3.14M","s/d (pro)","s/d (pro)","—","MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $185.01M (Long $106.88M / Short $78.13M); mayor liquidación individual: Aster BTCUSDT $3.14M; mapa de niveles de liquidación no renderizó (heatmap vacío) sin pedir login; no había fila pendiente de comparación de nivel (todas las filas previas también s/d (pro))"
2026-09-15,08:54,76864,337983299,146680000,190130000,"Binance ETHUSDT $9.19M","s/d (pro)","s/d (pro)","—","MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $337.98M (Long $146.68M / Short $190.13M); mayor liquidacion individual: Binance ETHUSDT $9.19M; mapa de niveles de liquidacion no visible sin login (heatmap solo agregado por simbolo); no habia fila pendiente de comparacion de nivel (todas las filas previas tambien s/d (pro))"
2026-09-16,08:51,76220,646830000,523410000,123420000,"Binance BTCUSDT $22.52M","s/d (pro)","s/d (pro)","—","MÉTRICAS-E coinglass.com/liquidations","24h Rekt total $646.83M (Long $523.41M / Short $123.42M); mayor liquidación individual: Binance BTCUSDT $22.52M; mapa de niveles de liquidación no visible sin login (heatmap muestra un treemap agregado por símbolo -ETH $6.76M, BTC $2.11M, etc.-, no niveles de precio); no había fila pendiente de comparación de nivel (todas las filas previas también s/d (pro))"
