fecha,token,contrato,origen,edad_dias,mc_usd,liq_usd,liq_pct,top10_pct,holders,dinero_1d_compra,dinero_1d_venta,pct_24h,min_del_dia,ballenas_plantel,score_estimado,estado,evento_del_dia
2026-09-03,PARE,s/d (RH Chain · launchpad pons),A4 graduados,0.75,3200000,137900,4.3,22.79,2000,4200000,4100000,75101,s/d,unipcs $41.7K Received -22% sin agregar,47,observacion,ALTA — detectado por A4 (graduado <24h >$1M); unipcs entró por Received; cita 4-sep ~21h ficha completa al cumplir 48h
2026-09-03,fone,CTPoyCwkjMvoJwU4xvZZqoD8tiYk6yDchySiN5gGpump (Solana · Pump.fun),B3 convergencia 2-sep,7,18400000,489600,2.7,12.09,27000,6000000,6000000,5.95,s/d,ether_monk $315K +3compras (+12.9%); eric.eth $9K; PoorGoat $9,68,graduado,"mapa 9 vivo; fuera de banda ($18.4M > $17.0M); dinero empatado; 8:45 falló por dinero, 15:10 por MC"
2026-09-03,CETS,s/d (BNB · Flap),B1 DCE/unipcs 2-sep,28,18300000,290000,1.6,24.35,8000,388600,396600,-4.82,15600000,DCE $271K +$5K ayer entero; unipcs $24K Received entero,62,observacion,respeta piso $14M (mín $15.6M); ticket vendedor 35% mayor ($795 vs $588); C sigue reprobado; cita 4-sep: ticket comprador 2 lecturas seguidas
2026-09-03,ICOIN,0x5d6e…c61e18 (RH Chain · LONG),B1 DCE 2-sep 17:04,30,5900000,382400,6.5,17.66,3000,5200000,4900000,2589.72,s/d,DCE $50.8K +154% agregó 1 vez; Natan_benish $46.7K Received,45,observacion,"vela +2,590% (regla 2, no se compra); más vendedores que compradores en cantidad; cita 6-sep: ¿DCE entero? ¿banda?"
2026-09-03,GG,0xcacb…8bcb68 (RH Chain),B4 siembra Manu + unipcs 1-sep,5,4000000,196700,4.9,23.67,5000,1400000,1500000,-42.39,3600000,unipcs $55K -17% entero; Manu $738 -26%,36,muerto,perforó piso $5.1M y stop $4.4M (mín $3.6M) con dinero vendedor; mapa 5 cerrado sin trade
2026-09-03,SAYLORMOON,0xd18528b39da6464b3662c331a52181ecb15b1e18 (RH Chain · LONG),B4 siembra Manu + inyourwalls/eric.eth 30-ago,5,1300000,205000,15.8,13.8,5000,951300,1100000,-54.95,1080000,Quanterty VENDIÓ TODO 14:48 (+624%); inyourwalls VENDIÓ TODO 14:55 (-40%); eric.eth $25K -16% entero; Manu $413 -58%,0,muerto,forzosa: Quanterty e inyourwalls vendieron todo; $3.4M→$1.08M en la tarde; sonda de $10 evitada
2026-09-03,UMIA,0x56ab…5bba7d (Base · UniswapCCA),B1 ether_monk 2-sep,1,30800000,1600000,5.2,59.85,1000,922900,1000000,-11.58,s/d,ether_monk $318K (60% por Received $195K) +1compra,0,veto,3 warnings (Potential scam + Mintable + Unverified) + top10 59.9%
2026-09-03,VACCINU,0xcf1968747bc573294e468fd0cdab0dc61b971e18 (RH Chain · LONG),B3 convergencia eric.eth+Manu 2-sep,1,493200,82900,16.8,21.15,1000,641400,747200,-75.95,350000,Manu $529 -47% promedió; eric.eth $19.2K +55%,25,observacion,cohorte semillero regla 10; -76% en el día antes de cumplir 48h; cita 5-sep: piso de 3 días o baja
2026-09-03,A (Adell),0x05d73a652529f0b1a6dd2b89de26b449ec9f1e18 (RH Chain · LONG),B3 convergencia eric.eth+Manu 2-sep,2,264700,56100,21.2,24.03,773,310100,312600,-38.6,192000,Manu $778 -35% promedió; eric.eth $4.7K +25%,28,observacion,cohorte semillero regla 10; -39% en el día; cita 5-sep: piso de 3 días o baja
2026-09-03,JINQIAN,0xe81880c1c5054245e036359f5c7be31606e79f56 (RH Chain),B3 convergencia unipcs+ether_monk 3-sep,1,3200000,21300,0.69,9.61,s/d,50000000,48000000,309.35,s/d,unipcs CERRÓ -$118.7K (-80%); ether_monk CERRÓ -$37K (-61.5%),0,veto,estructura: liq 0.69% + Unverified; ambos titulares cortaron con pérdida el mismo día
